TEMA,PLANO DE INFORMAÇÃO,DATA DA ÚLTIMA ATUALIZAÇÃO NA FONTE DE DADOS,PERIODICIDADE DE ATUALIZAÇÃO DA INFORMAÇÃO,FONTE,"SEGREGAÇÃO DOS DADOS
(EX.: MUNICIPAL, ESTADUAL)","SISTEMA DE REFERÊNCIA/ DATUM
(EX.: WGS 84, SIRGAS 2000)",EPSG,"FORMATO DO ARQUIVO
(Ex.: SHAPEFILE, GEOPACKAGE)","GEOMETRIA DO DADO
(Ex.: PONTO, POLÍGONO, LINHA)",OBSERVAÇÕES,ENDEREÇO
Unidades Territoriais,Estado,2024,Anual,IBGE,Estadual,SIRGAS 2000,4674,Shapefile,Polígono,-,https://www.ibge.gov.br/geociencias/organizacao-do-territorio/estrutura-territorial/15774-malhas.html?=&t=downloads
Unidades Territoriais,Município,2024,Anual,IBGE,Municipal,SIRGAS 2000,4674,Shapefile,Polígono,-,https://www.ibge.gov.br/geociencias/organizacao-do-territorio/estrutura-territorial/15774-malhas.html?=&t=downloads
Unidades Territoriais,Setores Censitários,2022,Aproximadamente 5 anos,IBGE,Estadual,SIRGAS 2000,4674,Shapefile,Polígono,"1. O dado contém apenas os setores censitários, sem a inclusão do total de pessoas em cada setor.

2. Malha censitária anterior é de 2017, o que indica que a atualização das informações não é de alta recorrência.

3. Atualização dos dados tem uma periodicidade de cerca de 10 anos.",https://www.ibge.gov.br/geociencias/organizacao-do-territorio/estrutura-territorial/26565-malhas-de-setores-censitarios-divisoes-intramunicipais.html?edicao=41826&t=acesso-ao-produto
Unidades Territoriais,Área do imóvel,2025,Mensal,SICAR,Estadual,SIRGAS 2000,Personalizado,Shapefile,Polígono,"1. Há sobreposição dos polígonos do dado vetorial, de modo que seria necessário um tratamento dos dados brutos para utilização no modelo automatizado.

2. Atualização dos dados difere entre os estados e não há uma periodicidade definida. Além disso, existem dados de 2025, o que indica que os dados estão em constante atualização.",http://www.car.gov.br/publico/imoveis/index
Unidades Territoriais,Área do imóvel,2025,Diária,INCRA,Estadual,SIRGAS 2000,4674,Shapefile,Polígono,"Não é possível verificar a periodicidade das atualizações, porém tendo em vista a data da última atualização, parece ser recorrente.",https://certificacao.incra.gov.br/csv_shp/export_shp.py
Unidades Territoriais,UC - Todas,2025,Anual,Min. Meio Ambiente,Federal,SIRGAS 2000,4674,Shapefile,Polígono,"Não é possível verificar a periodicidade das atualizações, porém tendo em vista a data da última atualização, parece ser recorrente.",https://www.gov.br/icmbio/pt-br/assuntos/dados_geoespaciais/mapa-tematico-e-dados-geoestatisticos-das-unidades-de-conservacao-federais
Unidades Territoriais,Área de Preservação Permanente (APP),2025,Mensal,SICAR,Estadual,SIRGAS 2000,Personalizado,Shapefile,Polígono,"1. Há sobreposição dos polígonos do dado vetorial.

2. Atualização dos dados difere entre os estados e não há uma periodicidade definida. Além disso, existem dados de 2025, o que indica que os dados estão em constante atualização.",http://www.car.gov.br/publico/imoveis/index
Unidades Territoriais,Reserva Legal,2025,Mensal,SICAR,Estadual,SIRGAS 2000,Personalizado,Shapefile,Polígono,"1. Há sobreposição dos polígonos do dado vetorial.

2. Atualização dos dados difere entre os estados e não há uma periodicidade definida. Além disso, existem dados de 2025, o que indica que os dados estão em constante atualização.",http://www.car.gov.br/publico/imoveis/index
Unidades Territoriais,Terra Indígena,2024,Irregular (Mín. Anual),FUNAI,Estadual,SIRGAS 2000,Personalizado,Shapefile,Polígono,"1. A página da fonte de dados consta com a data de atualização indicada, porém não é possível averiguar quais dados na página foram atualizados.

2. Não é possível verificar a periodicidade das atualizações, porém tendo em vista a data da última atualização, parece ser no mínimo anual.",Geoprocessamento e Mapas — pt-br (www.gov.br)
Unidades Territoriais,Terras Quilombolas,2025,Diária,INCRA,Estadual,SIRGAS 2000,4674,Shapefile,Polígono,"Não é possível verificar a periodicidade das atualizações, porém tendo em vista a data da última atualização, parece ser recorrente.",https://certificacao.incra.gov.br/csv_shp/export_shp.py
